,Unnamed: 0,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,Ligand,Pose
515,515,-415.635,5.0,1.0,500.538,214.121,287.785,0.589,76.405,-11.821,0.0,-791.89,152.546,-242.14,1.38,16.89,31.607,80.108,477.442,-34.323,-52.649,-23.917,-25.77,-15.265,12.913,-25.224,0.327,-7.4,26.759,424.852,123.954,300.898,2.815,0.156,S6I2,2
516,516,-382.743,3.0,1.0,412.207,191.243,222.637,0.588,67.882,-9.892,0.0,-789.299,155.004,-240.624,1.385,16.505,31.248,100.763,477.883,-33.483,-51.881,-25.017,-25.685,-14.962,12.883,-24.792,0.285,-7.907,26.759,438.476,102.976,335.5,8.039,0.153,S6I2,2
517,517,-381.783,2.0,2.0,359.187,152.143,208.413,0.493,59.339,-11.635,0.0,-788.111,153.309,-241.468,1.385,16.747,30.662,105.766,473.497,-31.911,-51.045,-27.546,-26.449,-12.495,14.168,-24.896,0.314,-8.794,26.759,458.359,107.586,350.773,8.033,0.291,S6I2,2
518,518,-413.987,3.0,2.0,464.468,191.348,273.576,0.405,56.52,-13.236,0.0,-781.056,153.202,-242.7,1.379,16.422,30.715,81.273,471.034,-31.234,-51.491,-27.848,-27.008,-14.487,11.675,-24.922,0.293,-8.733,26.759,464.868,133.534,332.246,2.575,0.162,S6I2,2
519,519,-418.01,4.0,2.0,519.776,222.991,298.305,0.605,87.741,-13.493,0.0,-794.841,154.111,-245.455,1.379,16.926,31.714,81.553,481.236,-33.766,-51.949,-26.621,-26.077,-15.959,13.531,-25.151,0.315,-8.695,26.759,423.09,110.268,312.974,2.767,0.213,S6I2,2
520,520,-414.102,4.0,3.0,508.531,217.341,291.798,0.598,86.321,-14.771,0.0,-786.872,149.454,-239.775,1.356,16.317,31.151,80.403,475.664,-32.52,-52.252,-23.399,-25.659,-16.279,11.61,-25.526,0.308,-8.12,26.759,426.365,101.094,325.422,2.872,0.407,S6I2,2
521,521,-411.356,3.0,2.0,491.462,221.564,271.266,0.539,76.839,-14.381,0.0,-782.486,152.314,-236.865,1.385,16.877,31.906,78.64,470.072,-33.816,-53.255,-22.988,-25.734,-15.78,11.713,-24.92,0.291,-8.385,26.759,441.212,110.192,331.02,2.814,0.102,S6I2,2
522,522,-408.661,4.0,1.0,445.982,214.003,233.651,0.675,69.753,-11.677,0.0,-786.097,154.724,-238.311,1.375,16.649,30.353,85.019,469.226,-28.297,-51.518,-26.071,-26.536,-16.526,12.826,-25.47,0.299,-9.891,26.759,457.632,112.501,345.132,2.542,0.284,S6I2,2
523,523,-413.693,4.0,1.0,455.822,216.692,240.802,0.581,67.92,-10.384,0.0,-789.573,152.927,-241.373,1.373,16.51,30.89,81.452,475.749,-32.492,-51.697,-24.428,-26.135,-16.266,12.402,-24.639,0.365,-8.251,26.759,461.515,113.246,348.269,2.571,0.164,S6I2,2
524,524,-414.659,3.0,4.0,334.875,61.771,273.104,0.699,65.869,-10.196,0.0,-784.803,154.242,-239.248,1.373,16.461,30.71,79.381,476.247,-33.577,-51.444,-27.859,-26.848,-16.724,11.973,-24.994,0.314,-9.148,26.759,499.697,179.729,321.488,2.489,0.036,S6I2,4
