,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,description,Ligand,Pose,Run
577,-408.315,6.0,2.0,489.766,214.952,276.486,0.648,84.286,-6.942,0.0,-793.885,157.652,-244.98,1.44,17.154,35.22,81.842,481.714,-31.958,-50.806,-25.823,-26.343,-14.419,12.952,-24.403,0.331,-11.307,26.759,381.583,78.757,302.826,0.177,0.368,rel_I2S3_out_4_1_complex_0004,I2S3,1,0004
578,-404.423,6.0,2.0,502.796,212.654,291.51,0.587,80.732,-6.6,0.0,-789.429,156.855,-241.481,1.441,17.609,34.605,84.524,476.541,-31.618,-49.817,-29.384,-26.435,-12.676,13.068,-24.837,0.326,-10.998,26.759,412.812,91.237,321.575,0.213,0.311,rel_I2S3_out_4_1_complex_0005,I2S3,1,0005
579,-401.162,6.0,3.0,500.561,220.098,281.983,0.439,84.116,-5.922,0.0,-791.841,155.015,-240.805,1.464,18.265,35.344,83.926,480.593,-34.418,-49.785,-26.322,-25.538,-12.822,12.885,-24.594,0.307,-10.339,26.759,385.349,87.549,297.8,0.201,0.543,rel_I2S3_out_4_1_complex_0006,I2S3,1,0006
580,-407.899,5.0,3.0,492.468,230.506,263.483,0.581,81.721,-7.4,0.0,-785.867,154.839,-238.249,1.444,17.363,34.745,79.916,474.43,-34.55,-52.143,-23.533,-26.341,-15.064,12.563,-25.119,0.306,-9.755,26.759,389.472,79.708,309.764,0.238,0.117,rel_I2S3_out_4_1_complex_0007,I2S3,1,0007
581,-407.782,5.0,2.0,479.136,215.207,265.297,0.56,78.808,-6.156,0.0,-787.644,156.092,-237.003,1.424,17.178,34.482,80.497,475.122,-32.321,-51.382,-28.214,-26.457,-15.024,11.732,-24.511,0.321,-9.275,26.759,398.947,92.955,305.991,0.179,0.262,rel_I2S3_out_4_1_complex_0008,I2S3,1,0008
582,-408.827,6.0,2.0,501.373,219.488,283.405,0.58,78.428,-7.296,0.0,-786.592,155.232,-237.565,1.433,16.748,34.662,82.298,471.901,-32.835,-51.955,-25.04,-26.208,-15.028,11.123,-24.697,0.332,-10.017,26.759,404.086,89.449,314.637,0.222,0.4,rel_I2S3_out_4_1_complex_0009,I2S3,1,0009
583,-403.059,6.0,2.0,474.24,229.818,245.486,0.644,80.61,-5.275,0.0,-791.599,156.587,-236.903,1.442,17.59,34.496,83.823,475.671,-32.27,-50.544,-25.755,-26.846,-15.654,11.998,-24.422,0.318,-8.226,26.759,408.814,91.926,316.888,0.22,0.256,rel_I2S3_out_4_1_complex_0010,I2S3,1,0010
584,-408.833,3.0,2.0,476.151,205.714,270.437,0.424,66.826,-7.112,0.0,-791.739,155.163,-235.344,1.433,17.077,35.333,79.858,477.507,-35.553,-51.184,-23.23,-26.273,-16.414,12.154,-24.85,0.315,-10.528,26.759,397.175,114.357,283.882,0.224,0.457,rel_I2S3_out_4_2_complex_0001,I2S3,2,0001
585,-408.486,4.0,2.0,485.859,212.248,273.611,0.408,68.349,-7.164,0.0,-793.251,154.587,-235.847,1.45,17.812,35.279,80.739,478.936,-35.979,-50.726,-25.379,-26.171,-15.987,13.306,-24.698,0.311,-10.079,26.759,386.254,102.998,284.168,0.189,0.261,rel_I2S3_out_4_2_complex_0002,I2S3,2,0002
586,-407.991,2.0,2.0,462.06,197.743,264.318,0.352,64.226,-7.522,0.0,-787.046,149.133,-236.208,1.425,17.009,34.312,81.556,476.689,-34.944,-50.684,-25.106,-26.563,-14.445,11.877,-24.873,0.314,-7.698,26.759,416.087,126.588,290.564,0.237,0.267,rel_I2S3_out_4_2_complex_0003,I2S3,2,0003
